iata,name,city,state,country,latitude,longitude
1G0,USBP,Bowling Green,OH,USA,41.391,-83.63013889
1G3,USBP,Kent,OH,USA,41.15186167,-81.41658306
1G4,USBP,Peach Springs,AZ,USA,35.99221,-113.8166164
1G5,USBP,Medina,OH,USA,41.13144444,-81.76491667
1G6,USBP,Cicero,NY,USA,43.18166667,-76.12777778
1H0,USBP,St Louis,MO,USA,38.72752,-90.50830417
1H2,USBP,Effingham,IL,USA,39.07045083,-88.53351972
1H3,USBP,Linn,MO,USA,38.47149444,-91.81531667
1H8,USBP,Casey,IL,USA,39.30250917,-88.00406194
1I5,USBP,Freehold,NY,USA,42.36425,-74.06596806
1I9,USBP,Delphi,IN,USA,40.54281417,-86.68167194
1J0,USBP,Bonifay,FL,USA,30.84577778,-85.60138889
1K2,USBP,Lindsay,OK,USA,34.85007333,-97.58642028
1K4,USBP,Goldsby,OK,USA,35.1550675,-97.47039389
1K5,USBP,Waynoka,OK,USA,36.56670028,-98.85231333
1K9,USBP,Satanta,KS,USA,37.45419111,-100.9921119
1L0,USBP,Reserve,LA,USA,30.08720833,-90.58266528
1L1,USBP,Panaca,NV,USA,37.78746444,-114.4216567
1L7,USBP,Escalante,UT,USA,37.74532639,-111.5701653
1L9,USBP,Parowan,UT,USA,37.85969694,-112.816055
1M1,USBP,No Lit Rock,AR,USA,34.83398056,-92.25792778
1M2,USBP,Belzoni,MS,USA,33.14518056,-90.51528472
1M4,USBP,Haleyville,AL,USA,34.28034806,-87.60044139
1M5,USBP,Portland,TN,USA,36.59287528,-86.47691028
1M7,USBP,Fulton,KY,USA,36.52589417,-88.91561611
1MO,USBP,Mountain Grove,MO,USA,37.12071889,-92.311245
1N2,USBP,East Moriches,NY,USA,40.82787639,-72.74871083
1N4,USBP,Woodbine,NJ,USA,39.21915,-74.794765
1N7,USBP,Blairstown,NJ,USA,40.97114556,-74.99747556
1N9,USBP,Allentown,PA,USA,40.57027778,-75.48830556
1ND3,USBP,Kindred,ND,USA,46.6485775,-97.00564306
1O1,USBP,Grandfield,OK,USA,34.23758944,-98.74200917
1O2,USBP,Lakeport,CA,USA,38.99017472,-122.8997175
1O3,USBP,Lodi,CA,USA,38.20241667,-121.2684167
1O4,USBP,Thomas,OK,USA,35.73338222,-98.73063833
1O6,USBP,Dunsmuir,CA,USA,41.26320889,-122.2719528
1R1,USBP,Jena,LA,USA,31.671005,-92.15846722
1R7,USBP,Brookhaven,MS,USA,31.6058475,-90.40931583
1R8,USBP,Bay Minette,AL,USA,30.87046278,-87.81738167
1S0,USBP,Puyallup,WA,USA,47.10391667,-122.2871944
1S3,USBP,Forsyth,MT,USA,46.27110639,-106.6239206
1S5,USBP,Sunnyside,WA,USA,46.32763139,-119.9705964
1S6,USBP,Priest River,ID,USA,48.19018611,-116.9093644
1U7,USBP,Paris,ID,USA,42.24714972,-111.33826
1V0,USBP,Navajo Dam,NM,USA,36.80833833,-107.6514444
1V2,USBP,Hyannis,NE,USA,42.00942944,-101.7693439
1V5,USBP,Boulder,CO,USA,40.03942972,-105.2258217
1V6,USBP,Canon City,CO,USA,38.42838111,-105.1054994
1V9,USBP,Delta,CO,USA,38.78539722,-108.0636611
20A,USBP,Oneonta,AL,USA,33.97231972,-86.37942722
20M,USBP,Macon,MS,USA,33.13345889,-88.53559806
20N,USBP,Kingston,NY,USA,41.9852525,-73.96409722
20U,USBP,Beach,ND,USA,46.92362444,-103.9785389
20V,USBP,Kremmling,CO,USA,40.05367972,-106.3689467
21D,USBP,St Paul,MN,USA,44.99748861,-92.85568111
21F,USBP,Jacksboro,TX,USA,33.228725,-98.14671083
22B,USBP,Burlington,CT,USA,41.77287528,-73.01121667
22I,USBP,McArthur,OH,USA,39.328125,-82.44182167
22M,USBP,Pontotoc,MS,USA,34.27593833,-89.03839694
22N,USBP,Lehighton,PA,USA,40.80950889,-75.76149639
23J,USBP,Jacksonville,FL,USA,30.27778889,-81.80594722
23M,USBP,Quitman,MS,USA,32.08487111,-88.73893389
23N,USBP,Bayport,NY,USA,40.75843139,-73.05372083
23R,USBP,Devine,TX,USA,29.1384075,-98.94189028
24A,USBP,Sylva,NC,USA,35.3168625,-83.20936806
24J,USBP,Live Oak,FL,USA,30.30105583,-83.02318778
24N,USBP,Dulce,NM,USA,36.828535,-106.8841914
25J,USBP,Cuthbert,GA,USA,31.70016583,-84.82492194
25M,USBP,Ripley,MS,USA,34.72226778,-89.01504944
25R,USBP,Edinburg,TX,USA,26.44201083,-98.12945306
26A,USBP,Ashland/Lineville,AL,USA,33.28761417,-85.80412861
26N,USBP,Ocean City,NJ,USA,39.26347222,-74.60747222
26R,USBP,Edna/Ganado,TX,USA,29.00101,-96.58194667
26U,USBP,McDermitt,OR,USA,42.00211083,-117.7231972
27A,USBP,Elberton,GA,USA,34.09519722,-82.81586417
27D,USBP,Canby,MN,USA,44.72801889,-96.26309972
27J,USBP,Newberry,SC,USA,34.30927778,-81.63972222
27K,USBP,Georgetown,KY,USA,38.23442528,-84.43468667
28J,USBP,Palatka,FL,USA,29.65863889,-81.68855556
29D,USBP,Grove City,PA,USA,41.14597611,-80.16592194
29G,USBP,Ravenna,OH,USA,41.210195,-81.25163083
29S,USBP,Gardiner,MT,USA,45.04993556,-110.7466008
2A0,USBP,Dayton,TN,USA,35.48624611,-84.93109722
2A1,USBP,Jamestown,TN,USA,36.34970833,-84.94664472
2A3,USBP,Larsen Bay,AK,USA,57.53510667,-153.9784169
2A9,USBP,Kotlik,AK,USA,63.03116111,-163.5299278
2AK,USBP,Lime Village,AK,USA,61.35848528,-155.4403508
2B3,USBP,Newport,NH,USA,43.38812944,-72.18925417
2B7,USBP,Pittsfield,ME,USA,44.76852778,-69.37441667
2B9,USBP,Post Mills,VT,USA,43.884235,-72.25370333
2D1,USBP,Alliance,OH,USA,40.97089139,-81.09981889
2D5,USBP,Oakes,ND,USA,46.17301972,-98.07987556
2F5,USBP,Lamesa,TX,USA,32.75627778,-101.9194722
2F6,USBP,Skiatook,OK,USA,36.357035,-96.01138556
2F7,USBP,Commerce,TX,USA,33.29288889,-95.89641806
2F8,USBP,Bastrop,LA,USA,32.75607944,-91.88057194
2G2,USBP,Steubenville,OH,USA,40.35944306,-80.70007806
2G3,USBP,Connellsville,PA,USA,39.95893667,-79.65713306
2G4,USBP,Oakland,MD,USA,39.58027778,-79.33941667
2G9,USBP,Somerset,PA,USA,40.03911111,-79.01455556
2H0,USBP,Shelbyville,IL,USA,39.41042861,-88.8454325
2H2,USBP,Aurora,MO,USA,36.96230778,-93.69531111
2I0,USBP,Madisonville,KY,USA,37.35502778,-87.39963889
2I5,USBP,Rantoul,IL,USA,40.29355556,-88.14236111
2IS,USBP,Clewiston,FL,USA,26.74200972,-81.04978917
2J2,USBP,Hinesville,GA,USA,31.78461111,-81.64116667
2J3,USBP,Louisville,GA,USA,32.98654083,-82.38568139
2J5,USBP,Millen,GA,USA,32.89376972,-81.96511583
2J9,USBP,Quincy,FL,USA,30.59786111,-84.55741667
2K3,USBP,Johnson,KS,USA,37.58271111,-101.73281
2K4,USBP,Mangum,OK,USA,34.89172583,-99.52675667
2K5,USBP,Telida,AK,USA,63.39387278,-153.2689733
2M0,USBP,Princeton,KY,USA,37.11560444,-87.85556944
2M2,USBP,Lawrenceburg,TN,USA,35.2343025,-87.25793222
2M3,USBP,Sallisaw,OK,USA,35.43816667,-94.80277778
2M4,USBP,Forest,MS,USA,32.35347778,-89.48867944
2M8,USBP,Millington,TN,USA,35.27897583,-89.93147611
2O1,USBP,Quincy,CA,USA,39.94378056,-120.9468983
2O3,USBP,Angwin,CA,USA,38.57851778,-122.4352572
2O6,USBP,Chowchilla,CA,USA,37.11244417,-120.2468406
2O7,USBP,Independence,CA,USA,36.81382111,-118.2050956
2O8,USBP,Hinton,OK,USA,35.50592472,-98.34236111
2P2,USBP,Washington Island,WI,USA,45.38620833,-86.92448056
2Q3,USBP,Davis/Woodland/Winters,CA,USA,38.5790725,-121.8566322
2R0,USBP,Waynesboro,MS,USA,31.64599472,-88.63475667
2R4,USBP,Milton,FL,USA,30.63762083,-86.99365278
