location,max_pop,longitude,latitude
Perth,2059484,115.8589,-31.9522
Puning,2055552,116.1586,23.2993
San Antonio,2049293,-98.5253,29.4658
Haikou,2046189,110.32,20.02
Vishakhapatnam,2035922,83.3167,17.7333
Gaziantep,2028563,37.3833,37.0667
Minsk,2020600,27.5618,53.9022
St. Louis,2024074,-90.2451,38.6358
Bamako,2009109,-7.9922,12.6458
Quito,2011388,-78.5097,-0.2186
Pingxiang,2001027,113.85,27.6333
Chongzuo,1994285,107.3667,22.4167
Sanliurfa,1985753,38.7917,37.1583
Kananga,1971704,22.4488,-5.897
Peshawar,1970042,71.5,34
Sapporo,1958756,141.3544,43.0621
Jixi,1950000,130.965,45.2937
Caracas,1943901,-66.9333,10.5
Fuxin,1930000,121.6486,42.0127
Leeds,1901934,-1.5492,53.7997
Sacramento,1898019,-121.4683,38.5667
Blantyre,1895973,35.0058,-15.7861
Tainan,1883831,120.1833,22.9833
Bucharest,1883425,26.0833,44.4
Wuwei,1890000,102.6329,37.9278
Bhopal,1883381,77.4167,23.25
Curitiba,1879355,-49.2719,-25.4297
Xiping,1873000,113.3,40.08
Asuncion,1870000,-57.6333,-25.3
Saidu Sharif,1860310,72.3572,34.75
Vienna,1840573,16.3731,48.2083
Aleppo,1834093,37.15,36.2
Hamburg,1841179,10,53.55
Meru,1833000,37.65,0.05
Brazzaville,1827000,15.2833,-4.2667
Orlando,1822394,-81.3369,28.4772
Mersin,1814468,34.6167,36.8
Almaty,1806833,76.9,43.25
Barranquilla,1798000,-74.8,10.96
Kyoto,1805000,135.7669,35.0111
Manaus,1802014,-60.0167,-3.1
Liaoyang,1800000,123.1772,41.2643
Baiyin,1799000,104.1766,36.5448
San Jose,1798103,-121.8486,37.3019
Warsaw,1790658,21.0333,52.2167
Shengli,1790000,118.4667,37.45
Lubumbashi,1786397,27.4581,-11.6697
Damascus,1754000,36.2919,33.5131
Shuyangzha,1770000,118.7734,34.1299
Shangqiu,1753000,115.65,34.4504
Esfahan,1756126,51.6675,32.6447
Budapest,1752286,19.0408,47.4983
Heihe,1750000,127.4886,50.2458
Lusaka,1742979,28.2833,-15.4167
Diyarbakir,1732396,40.2367,37.9108
Chinchvad,1729320,73.8131,18.6278
Shuozhou,1714857,112.4292,39.3408
Vitoria,1704000,-40.366,-20.324
Cleveland,1710093,-81.6804,41.4767
Pittsburgh,1703266,-79.9762,40.4396
Mecca,1700000,39.8261,21.4225
Patna,1684222,85.1414,25.61
Mosul,1694000,43.1167,36.3667
Austin,1687311,-97.7522,30.3004
Sanzhou,1680000,108.4,30.82
Conakry,1667864,-13.7122,9.5092
Kampala,1659600,32.5811,0.3136
Ecatepec,1656107,-99.06,19.6097
Cincinnati,1662691,-84.5061,39.1413
Makassar,1651146,119.4136,-5.1331
Yushan,1651200,120.9766,31.3867
Ludhiana,1649000,75.8486,30.9083
Newcastle,1650000,-1.6578,55.0077
Depok,1631951,106.8225,-6.394
Zhongli,1632616,121.2168,24.965
Kansas City,1636715,-94.5541,39.1239
Rabat,1628000,-6.8361,34.0253
Ouagadougou,1626950,-1.5353,12.3572
Davao,1632991,125.6,7.0667
Manhattan,1628706,-73.9662,40.7834
Semarang,1621384,110.4167,-6.9667
Yinchuan,1616000,106.2254,38.4795
Multan,1606481,71.4711,30.1978
Caloocan City,1583978,120.9667,14.65
Harare,1606000,31.0522,-17.8292
Novosibirsk,1602915,82.9167,55.0333
Chengtangcun,1603659,117.15,35.0833
Agra,1585705,78.02,27.18
Karaj,1592492,50.9915,35.8327
Indianapolis,1588961,-86.1458,39.7771
Jingdezhen,1587477,117.2036,29.2942
Puebla,1576259,-98.1833,19.0333
Kalyan,1576614,73.1602,19.2502
Madurai,1561129,78.1194,9.9197
Gujranwala,1569090,74.1833,32.15
Benxi,1567000,123.761,41.292
Jamshedpur,1558000,86.1833,22.8
Zhuhai,1562000,113.5678,22.2769
Recife,1555039,-34.8808,-8.0539
Columbus,1562009,-82.985,39.9862
Tabriz,1558693,46.2833,38.0833
Santiago,1550753,-70.67,19.5
Maracaibo,1551539,-71.6333,10.6333
Beihai,1539251,109.1,21.4667
Shuangyashan,1530000,131.1545,46.6388
Kobe,1522944,135.183,34.6913
Charlotte,1512923,-80.8304,35.208
Yucheng,1512000,103.0007,29.9888
Changshu,1510100,120.7333,31.65
Ximeicun,1508000,118.3811,24.9633
Jianguang,1507402,115.7833,28.1958
Gwangju,1501557,126.9167,35.1667
Xushan,1502000,121.2665,30.1697
Guiping,1496904,110.0833,23.4
Nasik,1486053,73.7833,20
Porto Alegre,1484941,-51.23,-30.0328
Zhangjiajie,1486000,110.4844,29.1255
Valencia,1484430,-68,10.1667
Virginia Beach,1478868,-76.0435,36.7335
Daejeon,1475221,127.385,36.351
Munich,1471508,11.5755,48.1372
Yekaterinburg,1468833,60.6128,56.8356
Auckland,1467800,174.7833,-36.85
Yunfu,1470000,112.0353,22.9242
Huangshan,1470000,118.3151,29.7132
Huazhou,1468061,112.079,32.6832
